fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_launchpad_numerics_filetest.gno	0	Launchpad Numerics CreateProject	paid	6822113	6764897	-57216	-0.8386844369185911	-44109	32744	28412	-4332	-433200	-433200	0	-58	-63	-8182	-433258	-433263	-441382
poc_launchpad_numerics_filetest.gno	1	Launchpad Numerics DepositGns call=1/256	paid	6391412	6427990	36578	0.57229920399436	34390	27369	27369	0	0	0	0	36	40	5231	36	40	5231
poc_launchpad_numerics_filetest.gno	2	Launchpad Numerics DepositGns call=2/256	paid	5973016	6014285	41269	0.6909239821222646	39541	4070	4070	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	3	Launchpad Numerics DepositGns call=3/256	paid	5967308	6008577	41269	0.6915848821612693	39541	3929	3929	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	4	Launchpad Numerics DepositGns call=4/256	paid	5973728	6014997	41269	0.6908416318921785	39541	3928	3928	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	5	Launchpad Numerics DepositGns call=5/256	paid	5975644	6016913	41269	0.6906201239565142	39541	3926	3926	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	6	Launchpad Numerics DepositGns call=6/256	paid	5975125	6016394	41269	0.6906801112947428	39541	3926	3926	0	0	0	0	41	46	5902	41	46	5902
poc_launchpad_numerics_filetest.gno	7	Launchpad Numerics DepositGns call=7/256	paid	5977528	6018797	41269	0.6904024539910143	39541	3926	3926	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	8	Launchpad Numerics DepositGns call=8/256	paid	5983942	6025211	41269	0.6896624332254557	39541	3926	3926	0	0	0	0	42	45	5902	42	45	5902
poc_launchpad_numerics_filetest.gno	9	Launchpad Numerics DepositGns call=9/256	paid	5985371	6026640	41269	0.689497777163688	39541	3926	3926	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	10	Launchpad Numerics DepositGns call=10/256	paid	6017520	6058789	41269	0.6858140895252529	39541	4025	4025	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	11	Launchpad Numerics DepositGns call=11/256	paid	6012514	6053783	41269	0.6863850961511274	39541	3929	3929	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	12	Launchpad Numerics DepositGns call=12/256	paid	6019418	6060687	41269	0.6855978435124459	39541	3929	3929	0	0	0	0	41	45	5902	41	45	5902
poc_launchpad_numerics_filetest.gno	13	Launchpad Numerics DepositGns call=13/256	paid	6020853	6062122	41269	0.6854344392729734	39541	3929	3929	0	0	0	0	42	46	5902	42	46	5902
poc_launchpad_numerics_filetest.gno	14	Launchpad Numerics DepositGns call=14/256	paid	6021806	6063075	41269	0.6853259636726922	39541	3929	3929	0	0	0	0	42	46	5901	42	46	5901
poc_launchpad_numerics_filetest.gno	15	Launchpad Numerics DepositGns call=15/256	paid	6022754	6064023	41269	0.6852180912585837	39541	3929	3929	0	0	0	0	42	45	5902	42	45	5902
poc_launchpad_numerics_filetest.gno	16	Launchpad Numerics DepositGns call=16/256	paid	6024194	6065463	41269	0.6850542993801328	39541	3929	3929	0	0	0	0	41	46	5902	41	46	5902
poc_launchpad_numerics_filetest.gno	17	Launchpad Numerics DepositGns call=17/256	paid	6312541	6353810	41269	0.6537620904165217	39541	17103	17103	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	18	Launchpad Numerics DepositGns call=18/256	paid	6072626	6113895	41269	0.6795906746109508	39541	4025	4025	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	19	Launchpad Numerics DepositGns call=19/256	paid	6064810	6106079	41269	0.6804664944161483	39541	3929	3929	0	0	0	0	42	45	5902	42	45	5902
poc_launchpad_numerics_filetest.gno	20	Launchpad Numerics DepositGns call=20/256	paid	6072500	6113769	41269	0.6796047756278304	39541	3929	3929	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	21	Launchpad Numerics DepositGns call=21/256	paid	6073448	6114717	41269	0.6794986966217542	39541	3929	3929	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	22	Launchpad Numerics DepositGns call=22/256	paid	6068927	6110196	41269	0.6800048838946324	39541	3929	3929	0	0	0	0	42	46	5902	42	46	5902
poc_launchpad_numerics_filetest.gno	23	Launchpad Numerics DepositGns call=23/256	paid	6076323	6117592	41269	0.6791771931808102	39541	3929	3929	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	24	Launchpad Numerics DepositGns call=24/256	paid	6076776	6118045	41269	0.6791265631644148	39541	3929	3929	0	0	0	0	42	45	5902	42	45	5902
poc_launchpad_numerics_filetest.gno	25	Launchpad Numerics DepositGns call=25/256	paid	6378468	6419737	41269	0.6470048920838044	39541	10621	10621	0	0	0	0	41	45	5902	41	45	5902
poc_launchpad_numerics_filetest.gno	26	Launchpad Numerics DepositGns call=26/256	paid	6065400	6106669	41269	0.6804003033600422	39541	3977	3977	0	0	0	0	41	46	5901	41	46	5901
poc_launchpad_numerics_filetest.gno	27	Launchpad Numerics DepositGns call=27/256	paid	6072791	6114060	41269	0.6795722098784562	39541	3929	3929	0	0	0	0	42	45	5901	42	45	5901
poc_launchpad_numerics_filetest.gno	28	Launchpad Numerics DepositGns call=28/256	paid	6074718	6115987	41269	0.6793566384480728	39541	3929	3929	0	0	0	0	41	45	5902	41	45	5902
poc_launchpad_numerics_filetest.gno	29	Launchpad Numerics DepositGns call=29/256	paid	6070910	6112179	41269	0.679782767328127	39541	3929	3929	0	0	0	0	42	45	5901	42	45	5901
poc_launchpad_numerics_filetest.gno	30	Launchpad Numerics DepositGns call=30/256	paid	6073121	6114390	41269	0.6795352834234655	39541	3929	3929	0	0	0	0	41	45	5901	41	45	5901
poc_launchpad_numerics_filetest.gno	31	Launchpad Numerics DepositGns call=31/256	paid	6074558	6115827	41269	0.679374532270496	39541	3929	3929	0	0	0	0	41	45	5902	41	45	5902
