fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_staker_numerics_filetest.gno	0	StakerNumbers deposit stake wide (first allocation)	paid	16439633	16442833	3200	0.01946515472699421	3789	35653	35292	-361	-36100	-36100	0	3	4	458	-36097	-36096	-35642
poc_staker_numerics_filetest.gno	1	StakerNumbers deposit stake boundary (first allocation)	paid	14496906	14500106	3200	0.022073675582914037	3789	13044	12683	-361	-36100	-36100	0	4	4	458	-36096	-36096	-35642
poc_staker_numerics_filetest.gno	2	StakerNumbers deposit stake boundary allocation 2/32	paid	14634171	14637371	3200	0.02186662982139542	3789	8465	8104	-361	-36100	-36100	0	3	4	458	-36097	-36096	-35642
poc_staker_numerics_filetest.gno	3	StakerNumbers deposit stake boundary allocation 3/32	paid	14671434	14674634	3200	0.02181109222179645	3789	8470	8109	-361	-36100	-36100	0	3	4	457	-36097	-36096	-35643
poc_staker_numerics_filetest.gno	4	StakerNumbers deposit stake boundary allocation 4/32	paid	14627846	14631046	3200	0.021876084831628662	3789	8452	8091	-361	-36100	-36100	0	4	4	458	-36096	-36096	-35642
poc_staker_numerics_filetest.gno	5	StakerNumbers deposit stake boundary allocation 5/32	paid	14596325	14599522	3197	0.021902773472089722	3789	8440	8079	-361	-36100	-36100	0	3	4	457	-36097	-36096	-35643
poc_staker_numerics_filetest.gno	6	StakerNumbers deposit stake boundary allocation 6/32	paid	14606724	14609921	3197	0.02188718017811523	3789	8446	8085	-361	-36100	-36100	0	3	3	457	-36097	-36097	-35643
poc_staker_numerics_filetest.gno	7	StakerNumbers deposit stake boundary allocation 7/32	paid	14692852	14696049	3197	0.021758879760035696	3789	8434	8073	-361	-36100	-36100	0	4	3	458	-36096	-36097	-35642
poc_staker_numerics_filetest.gno	8	StakerNumbers deposit stake boundary allocation 8/32	paid	14647823	14651020	3197	0.021825768921429484	3789	8434	8073	-361	-36100	-36100	0	4	4	457	-36096	-36096	-35643
poc_staker_numerics_filetest.gno	9	StakerNumbers deposit stake boundary allocation 9/32	paid	14552479	14555676	3197	0.021968765596569493	3789	8433	8072	-361	-36100	-36100	0	3	4	457	-36097	-36096	-35643
poc_staker_numerics_filetest.gno	10	StakerNumbers deposit stake boundary allocation 10/32	paid	14529879	14533076	3197	0.022002936156591532	3789	8427	8066	-361	-36100	-36100	0	4	4	457	-36096	-36096	-35643
poc_staker_numerics_filetest.gno	11	StakerNumbers deposit stake boundary allocation 11/32	paid	14650216	14653413	3197	0.02182220385010023	3789	8433	8072	-361	-36100	-36100	0	3	3	458	-36097	-36097	-35642
poc_staker_numerics_filetest.gno	12	StakerNumbers deposit stake boundary allocation 12/32	paid	14538589	14541786	3197	0.021989754301466255	3789	8433	8072	-361	-36100	-36100	0	3	3	457	-36097	-36097	-35643
poc_staker_numerics_filetest.gno	13	StakerNumbers deposit stake boundary allocation 13/32	paid	14498777	14501974	3197	0.022050135676960892	3789	8433	8072	-361	-36100	-36100	0	3	4	457	-36097	-36096	-35643
poc_staker_numerics_filetest.gno	14	StakerNumbers deposit stake boundary allocation 14/32	paid	14707189	14710386	3197	0.021737668564672692	3789	15064	14703	-361	-36100	-36100	0	3	4	457	-36097	-36096	-35643
poc_staker_numerics_filetest.gno	15	StakerNumbers deposit stake boundary allocation 15/32	paid	14411344	14414541	3197	0.022183912895285825	3789	8479	8118	-361	-36100	-36100	0	3	3	457	-36097	-36097	-35643
poc_staker_numerics_filetest.gno	16	StakerNumbers deposit stake boundary allocation 16/32	paid	14557710	14560910	3200	0.021981479229906353	3789	14937	14576	-361	-36100	-36100	0	3	4	458	-36097	-36096	-35642
poc_staker_numerics_filetest.gno	17	StakerNumbers deposit stake boundary allocation 17/32	paid	15037046	15040246	3200	0.02128077549273973	3789	8484	8123	-361	-36100	-36100	0	3	4	458	-36097	-36096	-35642
poc_staker_numerics_filetest.gno	18	StakerNumbers deposit stake boundary allocation 18/32	paid	14457344	14460544	3200	0.02213407939936962	3789	8430	8069	-361	-36100	-36100	0	3	3	457	-36097	-36097	-35643
poc_staker_numerics_filetest.gno	19	StakerNumbers deposit stake boundary allocation 19/32	paid	14779957	14783157	3200	0.021650942556869415	3789	8406	8045	-361	-36100	-36100	0	4	4	458	-36096	-36096	-35642
poc_staker_numerics_filetest.gno	20	StakerNumbers deposit stake boundary allocation 20/32	paid	14490092	14493292	3200	0.022084055781012295	3789	8479	8118	-361	-36100	-36100	0	3	3	457	-36097	-36097	-35643
poc_staker_numerics_filetest.gno	21	StakerNumbers deposit stake boundary allocation 21/32	paid	14748812	14752012	3200	0.02169666275493918	3789	8434	8073	-361	-36100	-36100	0	4	4	457	-36096	-36096	-35643
poc_staker_numerics_filetest.gno	22	StakerNumbers deposit stake boundary allocation 22/32	paid	14765664	14768864	3200	0.02167190043062066	3789	11766	11405	-361	-36100	-36100	0	3	3	458	-36097	-36097	-35642
poc_staker_numerics_filetest.gno	23	StakerNumbers deposit stake boundary allocation 23/32	paid	14599316	14602516	3200	0.021918835101589693	3789	8460	8099	-361	-36100	-36100	0	3	3	457	-36097	-36097	-35643
poc_staker_numerics_filetest.gno	24	StakerNumbers deposit stake boundary allocation 24/32	paid	14468197	14471538	3341	0.023092027292688923	3789	8430	8115	-315	-31500	-31500	0	3	3	477	-31497	-31497	-31023
