fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_launchpad_numerics_filetest.gno	0	Launchpad Numerics CreateProject	paid	6822113	6822113	0	0.0	0	32744	32744	0	0	0	0	0	0	0	0	0	0
poc_launchpad_numerics_filetest.gno	1	Launchpad Numerics DepositGns call=1/256	paid	6391412	6401763	10351	0.16195169392929137	9724	27369	27008	-361	-36100	-36100	0	10	11	1481	-36090	-36089	-34619
poc_launchpad_numerics_filetest.gno	2	Launchpad Numerics DepositGns call=2/256	paid	5973016	5985183	12167	0.2036994376040513	11425	4070	3709	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	3	Launchpad Numerics DepositGns call=3/256	paid	5967308	5979475	12167	0.20389428532933107	11425	3929	3568	-361	-36100	-36100	0	12	13	1739	-36088	-36087	-34361
poc_launchpad_numerics_filetest.gno	4	Launchpad Numerics DepositGns call=4/256	paid	5973728	5985895	12167	0.2036751589627114	11425	3928	3567	-361	-36100	-36100	0	12	13	1739	-36088	-36087	-34361
poc_launchpad_numerics_filetest.gno	5	Launchpad Numerics DepositGns call=5/256	paid	5975644	5987811	12167	0.20360985359904304	11425	3926	3565	-361	-36100	-36100	0	12	13	1739	-36088	-36087	-34361
poc_launchpad_numerics_filetest.gno	6	Launchpad Numerics DepositGns call=6/256	paid	5975125	5987292	12167	0.20362753917282064	11425	3926	3565	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	7	Launchpad Numerics DepositGns call=7/256	paid	5977528	5989695	12167	0.2035456797525666	11425	3926	3565	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	8	Launchpad Numerics DepositGns call=8/256	paid	5983942	5996109	12167	0.20332750551392376	11425	3926	3565	-361	-36100	-36100	0	13	13	1740	-36087	-36087	-34360
poc_launchpad_numerics_filetest.gno	9	Launchpad Numerics DepositGns call=9/256	paid	5985371	5997538	12167	0.20327896132086049	11425	3926	3565	-361	-36100	-36100	0	12	14	1739	-36088	-36086	-34361
poc_launchpad_numerics_filetest.gno	10	Launchpad Numerics DepositGns call=10/256	paid	6017520	6029687	12167	0.20219292997779817	11425	4025	3664	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	11	Launchpad Numerics DepositGns call=11/256	paid	6012514	6024681	12167	0.20236127516709318	11425	3929	3568	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	12	Launchpad Numerics DepositGns call=12/256	paid	6019418	6031585	12167	0.2021291759435879	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
