fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_launchpad_numerics_filetest.gno	0	Launchpad Numerics CreateProject	paid	6764897	6764897	0	0.0	0	28412	28412	0	0	0	0	0	0	0	0	0	0
poc_launchpad_numerics_filetest.gno	1	Launchpad Numerics DepositGns call=1/256	paid	6427990	6438341	10351	0.16103011983528287	9724	27369	27008	-361	-36100	-36100	0	11	12	1480	-36089	-36088	-34620
poc_launchpad_numerics_filetest.gno	2	Launchpad Numerics DepositGns call=2/256	paid	6014285	6026452	12167	0.20230168673416707	11425	4070	3709	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	3	Launchpad Numerics DepositGns call=3/256	paid	6008577	6020744	12167	0.20249386834852912	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	4	Launchpad Numerics DepositGns call=4/256	paid	6014997	6027164	12167	0.20227774012189864	11425	3928	3567	-361	-36100	-36100	0	13	13	1740	-36087	-36087	-34360
poc_launchpad_numerics_filetest.gno	5	Launchpad Numerics DepositGns call=5/256	paid	6016913	6029080	12167	0.20221332766486735	11425	3926	3565	-361	-36100	-36100	0	13	13	1740	-36087	-36087	-34360
poc_launchpad_numerics_filetest.gno	6	Launchpad Numerics DepositGns call=6/256	paid	6016394	6028561	12167	0.20223077145545987	11425	3926	3565	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	7	Launchpad Numerics DepositGns call=7/256	paid	6018797	6030964	12167	0.20215003097795123	11425	3926	3565	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	8	Launchpad Numerics DepositGns call=8/256	paid	6025211	6037378	12167	0.20193483680488533	11425	3926	3565	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	9	Launchpad Numerics DepositGns call=9/256	paid	6026640	6038807	12167	0.2018869552520144	11425	3926	3565	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	10	Launchpad Numerics DepositGns call=10/256	paid	6058789	6070956	12167	0.20081570756136252	11425	4025	3664	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	11	Launchpad Numerics DepositGns call=11/256	paid	6053783	6065950	12167	0.2009817662773839	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	12	Launchpad Numerics DepositGns call=12/256	paid	6060687	6072854	12167	0.20075281894610297	11425	3929	3568	-361	-36100	-36100	0	12	14	1740	-36088	-36086	-34360
poc_launchpad_numerics_filetest.gno	13	Launchpad Numerics DepositGns call=13/256	paid	6062122	6074289	12167	0.20070529758391534	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	14	Launchpad Numerics DepositGns call=14/256	paid	6063075	6075242	12167	0.2006737505308775	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	15	Launchpad Numerics DepositGns call=15/256	paid	6064023	6076190	12167	0.20064237883002753	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	16	Launchpad Numerics DepositGns call=16/256	paid	6065463	6077630	12167	0.20059474437483174	11425	3929	3568	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
poc_launchpad_numerics_filetest.gno	17	Launchpad Numerics DepositGns call=17/256	paid	6353810	6365977	12167	0.19149140436997644	11425	17103	16742	-361	-36100	-36100	0	12	13	1740	-36088	-36087	-34360
