fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_launchpad_numerics_filetest.gno	0	Launchpad Numerics CreateProject	paid	6822113	6764897	-57216	-0.8386844369185911	-44109	32744	28412	-4332	-433200	-433200	0	-58	-63	-8182	-433258	-433263	-441382
poc_launchpad_numerics_filetest.gno	1	Launchpad Numerics DepositGns call=1/256	paid	6391412	6438341	46929	0.7342508979236513	44114	27369	27008	-361	-36100	-36100	0	47	52	6711	-36053	-36048	-29389
poc_launchpad_numerics_filetest.gno	2	Launchpad Numerics DepositGns call=2/256	paid	5973016	6026452	53436	0.8946234197263159	50966	4070	3709	-361	-36100	-36100	0	53	59	7641	-36047	-36041	-28459
poc_launchpad_numerics_filetest.gno	3	Launchpad Numerics DepositGns call=3/256	paid	5967308	6020744	53436	0.8954791674906004	50966	3929	3568	-361	-36100	-36100	0	53	58	7641	-36047	-36042	-28459
poc_launchpad_numerics_filetest.gno	4	Launchpad Numerics DepositGns call=4/256	paid	5973728	6027164	53436	0.89451679085489	50966	3928	3567	-361	-36100	-36100	0	54	58	7641	-36046	-36042	-28459
poc_launchpad_numerics_filetest.gno	5	Launchpad Numerics DepositGns call=5/256	paid	5975644	6029080	53436	0.8942299775555572	50966	3926	3565	-361	-36100	-36100	0	54	58	7641	-36046	-36042	-28459
poc_launchpad_numerics_filetest.gno	6	Launchpad Numerics DepositGns call=6/256	paid	5975125	6028561	53436	0.8943076504675634	50966	3926	3565	-361	-36100	-36100	0	53	59	7642	-36047	-36041	-28458
poc_launchpad_numerics_filetest.gno	7	Launchpad Numerics DepositGns call=7/256	paid	5977528	6030964	53436	0.893948133743581	50966	3926	3565	-361	-36100	-36100	0	53	59	7641	-36047	-36041	-28459
poc_launchpad_numerics_filetest.gno	8	Launchpad Numerics DepositGns call=8/256	paid	5983942	6037378	53436	0.8929899387393795	50966	3926	3565	-361	-36100	-36100	0	54	59	7642	-36046	-36041	-28458
poc_launchpad_numerics_filetest.gno	9	Launchpad Numerics DepositGns call=9/256	paid	5985371	6038807	53436	0.8927767384845484	50966	3926	3565	-361	-36100	-36100	0	53	59	7641	-36047	-36041	-28459
poc_launchpad_numerics_filetest.gno	10	Launchpad Numerics DepositGns call=10/256	paid	6017520	6070956	53436	0.888007019503051	50966	4025	3664	-361	-36100	-36100	0	53	59	7641	-36047	-36041	-28459
poc_launchpad_numerics_filetest.gno	11	Launchpad Numerics DepositGns call=11/256	paid	6012514	6065950	53436	0.8887463713182207	50966	3929	3568	-361	-36100	-36100	0	53	59	7641	-36047	-36041	-28459
poc_launchpad_numerics_filetest.gno	12	Launchpad Numerics DepositGns call=12/256	paid	6019418	6072854	53436	0.8877270194560338	50966	3929	3568	-361	-36100	-36100	0	53	59	7642	-36047	-36041	-28458
poc_launchpad_numerics_filetest.gno	13	Launchpad Numerics DepositGns call=13/256	paid	6020853	6074289	53436	0.8875154400879742	50966	3929	3568	-361	-36100	-36100	0	54	59	7642	-36046	-36041	-28458
poc_launchpad_numerics_filetest.gno	14	Launchpad Numerics DepositGns call=14/256	paid	6021806	6075242	53436	0.8873749835182335	50966	3929	3568	-361	-36100	-36100	0	54	59	7641	-36046	-36041	-28459
poc_launchpad_numerics_filetest.gno	15	Launchpad Numerics DepositGns call=15/256	paid	6022754	6076190	53436	0.8872353079670862	50966	3929	3568	-361	-36100	-36100	0	54	58	7642	-36046	-36042	-28458
poc_launchpad_numerics_filetest.gno	16	Launchpad Numerics DepositGns call=16/256	paid	6024194	6077630	53436	0.8870232266756349	50966	3929	3568	-361	-36100	-36100	0	53	59	7642	-36047	-36041	-28458
poc_launchpad_numerics_filetest.gno	17	Launchpad Numerics DepositGns call=17/256	paid	6312541	6365977	53436	0.8465053929946752	50966	17103	16742	-361	-36100	-36100	0	53	59	7641	-36047	-36041	-28459
poc_launchpad_numerics_filetest.gno	18	Launchpad Numerics DepositGns call=18/256	paid	6072626	6126062	53436	0.87994880633189	50966	4025	3664	-361	-36100	-36100	0	54	59	7641	-36046	-36041	-28459
poc_launchpad_numerics_filetest.gno	19	Launchpad Numerics DepositGns call=19/256	paid	6064810	6118246	53436	0.8810828368901911	50966	3929	3568	-361	-36100	-36100	0	54	59	7642	-36046	-36041	-28458
