fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_proposal_metadata_filetest.gno	0	Proposal metadata lifecycle text (4KiB, 32 proposals) create 1	paid	1946483	1984925	38442	1.974946608832443	35418	22716	22306	-410	-41000	-41000	0	38	42	5497	-40962	-40958	-35503
poc_proposal_metadata_filetest.gno	1	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 1	paid	1020807	1220203	199396	19.53317326389807	163267	4488	4452	-36	-3600	-3600	0	200	220	28514	-3400	-3380	24914
poc_proposal_metadata_filetest.gno	2	Proposal metadata lifecycle text (4KiB, 32 proposals) create 2	paid	2171858	2250103	78245	3.6026756813751177	70674	12882	12472	-410	-41000	-41000	0	79	86	11189	-40921	-40914	-29811
poc_proposal_metadata_filetest.gno	3	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 2	paid	1002604	1205223	202619	20.20927504777559	166490	4450	4414	-36	-3600	-3600	0	203	223	28974	-3397	-3377	25374
poc_proposal_metadata_filetest.gno	4	Proposal metadata lifecycle text (4KiB, 32 proposals) create 3	paid	2176023	2254268	78245	3.595780007839991	70674	12868	12458	-410	-41000	-41000	0	78	86	11189	-40922	-40914	-29811
poc_proposal_metadata_filetest.gno	5	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 3	paid	1003792	1206411	202619	20.185357125779046	166490	4450	4414	-36	-3600	-3600	0	203	223	28974	-3397	-3377	25374
poc_proposal_metadata_filetest.gno	6	Proposal metadata lifecycle text (4KiB, 32 proposals) create 4	paid	2183411	2261656	78245	3.583612979874151	70674	12868	12458	-410	-41000	-41000	0	78	86	11189	-40922	-40914	-29811
poc_proposal_metadata_filetest.gno	7	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 4	paid	1004980	1207599	202619	20.161495751159226	166490	4450	4414	-36	-3600	-3600	0	203	223	28974	-3397	-3377	25374
poc_proposal_metadata_filetest.gno	8	Proposal metadata lifecycle text (4KiB, 32 proposals) create 5	paid	2184353	2262598	78245	3.5820675504371318	70674	12868	12458	-410	-41000	-41000	0	78	86	11189	-40922	-40914	-29811
poc_proposal_metadata_filetest.gno	9	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 5	paid	1019060	1224902	205842	20.199203187250998	169713	4450	4414	-36	-3600	-3600	0	205	227	29435	-3395	-3373	25835
