fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_staker_numerics_filetest.gno	0	StakerNumbers deposit stake wide (first allocation)	paid	16439633	16451941	12308	0.07486785136870149	11678	35653	34931	-722	-72200	-72200	0	12	14	1760	-72188	-72186	-70440
poc_staker_numerics_filetest.gno	1	StakerNumbers deposit stake boundary (first allocation)	paid	14496906	14509214	12308	0.08490087471078311	11678	13044	12322	-722	-72200	-72200	0	13	14	1760	-72187	-72186	-70440
poc_staker_numerics_filetest.gno	2	StakerNumbers deposit stake boundary allocation 2/32	paid	14634171	14647972	13801	0.09430667442658693	13248	8465	8104	-361	-36100	-36100	0	13	15	1973	-36087	-36085	-34127
poc_staker_numerics_filetest.gno	3	StakerNumbers deposit stake boundary allocation 3/32	paid	14671434	14685235	13801	0.09406715117281651	13248	8470	8109	-361	-36100	-36100	0	14	15	1973	-36086	-36085	-34127
poc_staker_numerics_filetest.gno	4	StakerNumbers deposit stake boundary allocation 4/32	paid	14627846	14641647	13801	0.09434745211290849	13248	8452	8091	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
poc_staker_numerics_filetest.gno	5	StakerNumbers deposit stake boundary allocation 5/32	paid	14596325	14610126	13801	0.09455119696224906	13248	8440	8079	-361	-36100	-36100	0	14	16	1974	-36086	-36084	-34126
poc_staker_numerics_filetest.gno	6	StakerNumbers deposit stake boundary allocation 6/32	paid	14606724	14620525	13801	0.09448388290214835	13248	8446	8085	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
poc_staker_numerics_filetest.gno	7	StakerNumbers deposit stake boundary allocation 7/32	paid	14692852	14706653	13801	0.09393002801634427	13248	8434	8073	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
poc_staker_numerics_filetest.gno	8	StakerNumbers deposit stake boundary allocation 8/32	paid	14647823	14661624	13801	0.09421877913188875	13248	8434	8073	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
poc_staker_numerics_filetest.gno	9	StakerNumbers deposit stake boundary allocation 9/32	paid	14552479	14566280	13801	0.09483607569541931	13248	8433	8072	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
poc_staker_numerics_filetest.gno	10	StakerNumbers deposit stake boundary allocation 10/32	paid	14529879	14543680	13801	0.09498358520397865	13248	8427	8066	-361	-36100	-36100	0	14	16	1974	-36086	-36084	-34126
poc_staker_numerics_filetest.gno	11	StakerNumbers deposit stake boundary allocation 11/32	paid	14650216	14664017	13801	0.09420338921965382	13248	8433	8072	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
poc_staker_numerics_filetest.gno	12	StakerNumbers deposit stake boundary allocation 12/32	paid	14538589	14552390	13801	0.09492668098671748	13248	8433	8072	-361	-36100	-36100	0	14	15	1973	-36086	-36085	-34127
poc_staker_numerics_filetest.gno	13	StakerNumbers deposit stake boundary allocation 13/32	paid	14498777	14512578	13801	0.09518733890451588	13248	8433	8072	-361	-36100	-36100	0	14	15	1973	-36086	-36085	-34127
poc_staker_numerics_filetest.gno	14	StakerNumbers deposit stake boundary allocation 14/32	paid	14707189	14720990	13801	0.09383846226495084	13248	15064	14703	-361	-36100	-36100	0	13	16	1973	-36087	-36084	-34127
poc_staker_numerics_filetest.gno	15	StakerNumbers deposit stake boundary allocation 15/32	paid	14411344	14425145	13801	0.0957648363677947	13248	8479	8118	-361	-36100	-36100	0	14	15	1973	-36086	-36085	-34127
poc_staker_numerics_filetest.gno	16	StakerNumbers deposit stake boundary allocation 16/32	paid	14557710	14571511	13801	0.09480199839123049	13248	14937	14576	-361	-36100	-36100	0	14	15	1974	-36086	-36085	-34126
