fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_proposal_metadata_filetest.gno	0	Proposal metadata lifecycle text (4KiB, 32 proposals) create 1	paid	1984925	1987604	2679	0.1349673161454463	2849	22306	21926	-380	-38000	-38000	0	3	3	383	-37997	-37997	-37617
poc_proposal_metadata_filetest.gno	1	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 1	paid	1220203	1217685	-2518	-0.20635910582091668	-2072	4452	4452	0	0	0	0	-3	-3	-361	-3	-3	-361
poc_proposal_metadata_filetest.gno	2	Proposal metadata lifecycle text (4KiB, 32 proposals) create 2	paid	2250103	2254568	4465	0.19843536051460756	3979	12472	12092	-380	-38000	-38000	0	4	5	639	-37996	-37995	-37361
poc_proposal_metadata_filetest.gno	3	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 2	paid	1205223	1202705	-2518	-0.20892399165963477	-2072	4414	4414	0	0	0	0	-3	-3	-360	-3	-3	-360
poc_proposal_metadata_filetest.gno	4	Proposal metadata lifecycle text (4KiB, 32 proposals) create 3	paid	2254268	2258733	4465	0.19806873007113618	3979	12458	12078	-380	-38000	-38000	0	4	5	638	-37996	-37995	-37362
poc_proposal_metadata_filetest.gno	5	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 3	paid	1206411	1203893	-2518	-0.20871825605038416	-2072	4414	4414	0	0	0	0	-3	-3	-360	-3	-3	-360
poc_proposal_metadata_filetest.gno	6	Proposal metadata lifecycle text (4KiB, 32 proposals) create 4	paid	2261656	2266121	4465	0.19742171223209895	3979	12458	12078	-380	-38000	-38000	0	5	5	639	-37995	-37995	-37361
poc_proposal_metadata_filetest.gno	7	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 4	paid	1207599	1205081	-2518	-0.20851292523428722	-2072	4414	4414	0	0	0	0	-2	-3	-360	-2	-3	-360
poc_proposal_metadata_filetest.gno	8	Proposal metadata lifecycle text (4KiB, 32 proposals) create 5	paid	2262598	2267063	4465	0.1973395185534505	3979	12458	12078	-380	-38000	-38000	0	5	5	639	-37995	-37995	-37361
poc_proposal_metadata_filetest.gno	9	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 5	paid	1224902	1222384	-2518	-0.2055674658054277	-2072	4414	4414	0	0	0	0	-2	-3	-360	-2	-3	-360
poc_proposal_metadata_filetest.gno	10	Proposal metadata lifecycle text (4KiB, 32 proposals) create 6	paid	2266763	2271228	4465	0.19697692259843663	3979	12458	12078	-380	-38000	-38000	0	5	5	638	-37995	-37995	-37362
poc_proposal_metadata_filetest.gno	11	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 6	paid	1226090	1223572	-2518	-0.2053682845468114	-2072	4414	4414	0	0	0	0	-3	-3	-360	-3	-3	-360
poc_proposal_metadata_filetest.gno	12	Proposal metadata lifecycle text (4KiB, 32 proposals) create 7	paid	2267705	2272170	4465	0.1968950987893046	3979	12458	12078	-380	-38000	-38000	0	5	5	639	-37995	-37995	-37361
poc_proposal_metadata_filetest.gno	13	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 7	paid	1227278	1224760	-2518	-0.2051694889014551	-2072	4414	4414	0	0	0	0	-3	-3	-360	-3	-3	-360
