fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_proposal_metadata_filetest.gno	0	Proposal metadata lifecycle text (4KiB, 32 proposals) create 1	paid	1946483	1987604	41121	2.112579457411136	38267	22716	21926	-790	-79000	-79000	0	41	45	5880	-78959	-78955	-73120
poc_proposal_metadata_filetest.gno	1	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 1	paid	1020807	1217685	196878	19.286505676391325	161195	4488	4452	-36	-3600	-3600	0	197	217	28153	-3403	-3383	24553
poc_proposal_metadata_filetest.gno	2	Proposal metadata lifecycle text (4KiB, 32 proposals) create 2	paid	2171858	2254568	82710	3.8082600243662337	74653	12882	12092	-790	-79000	-79000	0	83	91	11828	-78917	-78909	-67172
poc_proposal_metadata_filetest.gno	3	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 2	paid	1002604	1202705	200101	19.95812903200067	164418	4450	4414	-36	-3600	-3600	0	200	220	28614	-3400	-3380	25014
poc_proposal_metadata_filetest.gno	4	Proposal metadata lifecycle text (4KiB, 32 proposals) create 3	paid	2176023	2258733	82710	3.800970853708807	74653	12868	12078	-790	-79000	-79000	0	82	91	11827	-78918	-78909	-67173
poc_proposal_metadata_filetest.gno	5	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 3	paid	1003792	1203893	200101	19.934508344358193	164418	4450	4414	-36	-3600	-3600	0	200	220	28614	-3400	-3380	25014
poc_proposal_metadata_filetest.gno	6	Proposal metadata lifecycle text (4KiB, 32 proposals) create 4	paid	2183411	2266121	82710	3.788109522210889	74653	12868	12078	-790	-79000	-79000	0	83	91	11828	-78917	-78909	-67172
poc_proposal_metadata_filetest.gno	7	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 4	paid	1004980	1205081	200101	19.91094350136321	164418	4450	4414	-36	-3600	-3600	0	201	220	28614	-3399	-3380	25014
poc_proposal_metadata_filetest.gno	8	Proposal metadata lifecycle text (4KiB, 32 proposals) create 5	paid	2184353	2267063	82710	3.7864759038488742	74653	12868	12078	-790	-79000	-79000	0	83	91	11828	-78917	-78909	-67172
poc_proposal_metadata_filetest.gno	9	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 5	paid	1019060	1222384	203324	19.952112731340648	167641	4450	4414	-36	-3600	-3600	0	203	224	29075	-3397	-3376	25475
poc_proposal_metadata_filetest.gno	10	Proposal metadata lifecycle text (4KiB, 32 proposals) create 6	paid	2188518	2271228	82710	3.7792698072394195	74653	12868	12078	-790	-79000	-79000	0	83	91	11827	-78917	-78909	-67173
poc_proposal_metadata_filetest.gno	11	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 6	paid	1020248	1223572	203324	19.92888003701061	167641	4450	4414	-36	-3600	-3600	0	203	223	29075	-3397	-3377	25475
poc_proposal_metadata_filetest.gno	12	Proposal metadata lifecycle text (4KiB, 32 proposals) create 7	paid	2189460	2272170	82710	3.7776438025814585	74653	12868	12078	-790	-79000	-79000	0	83	91	11828	-78917	-78909	-67172
poc_proposal_metadata_filetest.gno	13	Proposal metadata lifecycle text (4KiB, 32 proposals) vote 7	paid	1021436	1224760	203324	19.90570138510881	167641	4450	4414	-36	-3600	-3600	0	203	224	29075	-3397	-3376	25475
poc_proposal_metadata_filetest.gno	14	Proposal metadata lifecycle text (4KiB, 32 proposals) create 8	paid	2196848	2279558	82710	3.764939586170732	74653	12868	12078	-790	-79000	-79000	0	83	91	11827	-78917	-78909	-67173
