fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_staker_numerics_filetest.gno	0	StakerNumbers deposit stake wide (first allocation)	paid	16439633	16439059	-574	-0.0034915621291545865	752	35653	34935	-718	-71800	-71800	0	0	-1	-82	-71800	-71801	-71882
poc_staker_numerics_filetest.gno	1	StakerNumbers deposit stake boundary (first allocation)	paid	14496906	14496332	-574	-0.003959465557685205	752	13044	12326	-718	-71800	-71800	0	0	-1	-82	-71800	-71801	-71882
poc_staker_numerics_filetest.gno	2	StakerNumbers deposit stake boundary allocation 2/32	paid	14634171	14634554	383	0.002617162256748264	1786	8465	8106	-359	-35900	-35900	0	0	1	55	-35900	-35899	-35845
poc_staker_numerics_filetest.gno	3	StakerNumbers deposit stake boundary allocation 3/32	paid	14671434	14671817	383	0.002610515100296263	1786	8470	8111	-359	-35900	-35900	0	0	0	54	-35900	-35900	-35846
poc_staker_numerics_filetest.gno	4	StakerNumbers deposit stake boundary allocation 4/32	paid	14627846	14628229	383	0.0026182939032855556	1786	8452	8093	-359	-35900	-35900	0	1	1	55	-35899	-35899	-35845
poc_staker_numerics_filetest.gno	5	StakerNumbers deposit stake boundary allocation 5/32	paid	14596325	14596708	383	0.0026239481513326128	1786	8440	8081	-359	-35900	-35900	0	0	1	55	-35900	-35899	-35845
poc_staker_numerics_filetest.gno	6	StakerNumbers deposit stake boundary allocation 6/32	paid	14606724	14607107	383	0.002622080077640955	1786	8446	8087	-359	-35900	-35900	0	1	0	55	-35899	-35900	-35845
poc_staker_numerics_filetest.gno	7	StakerNumbers deposit stake boundary allocation 7/32	paid	14692852	14693235	383	0.0026067097116339293	1786	8434	8075	-359	-35900	-35900	0	1	0	55	-35899	-35900	-35845
poc_staker_numerics_filetest.gno	8	StakerNumbers deposit stake boundary allocation 8/32	paid	14647823	14648206	383	0.0026147230206154184	1786	8434	8075	-359	-35900	-35900	0	1	1	55	-35899	-35899	-35845
poc_staker_numerics_filetest.gno	9	StakerNumbers deposit stake boundary allocation 9/32	paid	14552479	14552862	383	0.002631853995460155	1786	8433	8074	-359	-35900	-35900	0	0	1	55	-35900	-35899	-35845
poc_staker_numerics_filetest.gno	10	StakerNumbers deposit stake boundary allocation 10/32	paid	14529879	14530262	383	0.002635947622137803	1786	8427	8068	-359	-35900	-35900	0	1	1	55	-35899	-35899	-35845
poc_staker_numerics_filetest.gno	11	StakerNumbers deposit stake boundary allocation 11/32	paid	14650216	14650599	383	0.0026142959257392517	1786	8433	8074	-359	-35900	-35900	0	0	0	55	-35900	-35900	-35845
poc_staker_numerics_filetest.gno	12	StakerNumbers deposit stake boundary allocation 12/32	paid	14538589	14538972	383	0.002634368438367712	1786	8433	8074	-359	-35900	-35900	0	0	0	54	-35900	-35900	-35846
poc_staker_numerics_filetest.gno	13	StakerNumbers deposit stake boundary allocation 13/32	paid	14498777	14499160	383	0.002641602115819838	1786	8433	8074	-359	-35900	-35900	0	1	1	54	-35899	-35899	-35846
poc_staker_numerics_filetest.gno	14	StakerNumbers deposit stake boundary allocation 14/32	paid	14707189	14707572	383	0.0026041686144102722	1786	15064	14705	-359	-35900	-35900	0	0	1	54	-35900	-35899	-35846
poc_staker_numerics_filetest.gno	15	StakerNumbers deposit stake boundary allocation 15/32	paid	14411344	14411727	383	0.002657628601468399	1786	8479	8120	-359	-35900	-35900	0	0	0	54	-35900	-35900	-35846
poc_staker_numerics_filetest.gno	16	StakerNumbers deposit stake boundary allocation 16/32	paid	14557710	14558093	383	0.0026309082953294167	1786	14937	14578	-359	-35900	-35900	0	1	0	55	-35899	-35900	-35845
poc_staker_numerics_filetest.gno	17	StakerNumbers deposit stake boundary allocation 17/32	paid	15037046	15037429	383	0.0025470428167872865	1786	8484	8125	-359	-35900	-35900	0	0	1	55	-35900	-35899	-35845
poc_staker_numerics_filetest.gno	18	StakerNumbers deposit stake boundary allocation 18/32	paid	14457344	14457727	383	0.0026491726281120515	1786	8430	8071	-359	-35900	-35900	0	0	0	54	-35900	-35900	-35846
poc_staker_numerics_filetest.gno	19	StakerNumbers deposit stake boundary allocation 19/32	paid	14779957	14780340	383	0.002591347187275308	1786	8406	8047	-359	-35900	-35900	0	1	1	55	-35899	-35899	-35845
