fixture	workload	assumed_refund_realms	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	deposit_gain_ugnot	refund_gain_ugnot	storage_gain_ugnot	gas_repricing_gain_ugnot	net_gain_ugnot	net_5pct_gas_margin_ugnot	net_fixed_fee_ugnot
common_filetest.gno	TickMathGetSqrtRatioAtTick (minTick)		1689865	1689865	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	TickMathGetSqrtRatioAtTick (maxTick)		2058854	2058854	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	TickMathGetSqrtRatioAtTick (zero)		334802	334802	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	TickMathGetSqrtRatioAtTick		1527883	1527883	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	TickMathGetTickAtSqrtRatio		3863554	3863554	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	GetLiquidityForAmounts		3211535	3211535	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	GetAmountsForLiquidity		2981525	2981525	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	LiquidityMathAddDelta (positive)		449547	449547	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	LiquidityMathAddDelta (negative)		471588	471588	0	0	0	0	0	0	0	0	0	0	0	0
common_filetest.gno	LiquidityMathAddDelta		437865	437865	0	0	0	0	0	0	0	0	0	0	0	0
gnsmath_filetest.gno	GetAmount0Delta		3631434	3631434	0	0	0	0	0	0	0	0	0	0	0	0
gnsmath_filetest.gno	GetAmount1Delta		2329750	2329750	0	0	0	0	0	0	0	0	0	0	0	0
gnsmath_filetest.gno	SwapMathComputeSwapStep		4232740	4232740	0	0	0	0	0	0	0	0	0	0	0	0
gov_governance_propose_community_pool_spend_filetest.gno	Propose Community Pool Spend		2446348	2446348	0	20560	20560	0	0	0	0	0	0	0	0	0
gov_governance_propose_parameter_change_filetest.gno	Propose Parameter Change		2992330	2992330	0	19532	19532	0	0	0	0	0	0	0	0	0
gov_governance_propose_parameter_change_filetest.gno	Vote		1020769	1020769	0	4488	4488	0	0	0	0	0	0	0	0	0
gov_governance_propose_parameter_change_filetest.gno	Execute		2528088	2528088	0	76	76	0	0	0	0	0	0	0	0	0
gov_governance_propose_text_filetest.gno	Propose Text		1931909	1931909	0	18333	18333	0	0	0	0	0	0	0	0	0
gov_governance_propose_text_with_incative_proposals_filetest.gno	Propose Text with Inactive: 100		2347937	2347937	0	8501	8501	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation100_withdraw1_filetest.gno	CollectUndelegatedGns (100 delegations, 1 withdraws)		25137447	25137447	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation10_withdraw10_filetest.gno	CollectUndelegatedGns (10 delegations, 10 withdraws)		4375919	4375919	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation10_withdraw1_filetest.gno	CollectUndelegatedGns (10 delegations, 1 withdraws)		2337329	2337329	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation10_withdraw50_filetest.gno	CollectUndelegatedGns (10 delegations, 50 withdraws)		13436619	13436619	0	18	18	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation10_withdraw5_filetest.gno	CollectUndelegatedGns (10 delegations, 5 withdraws)		3243369	3243369	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation1_withdraw10_filetest.gno	CollectUndelegatedGns (1 delegation, 10 withdraws)		611432	611432	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation1_withdraw1_filetest.gno	CollectUndelegatedGns (1 delegation, 1 withdraws)		407573	407573	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation1_withdraw50_filetest.gno	CollectUndelegatedGns (1 delegation, 50 withdraws)		1517472	1517472	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_gns_delegation1_withdraw5_filetest.gno	CollectUndelegatedGns (1 delegation, 5 withdraws)		498177	498177	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation100_withdraw1_filetest.gno	CollectReward (100 delegations, 1 withdraws)		3457355	3457355	0	2333	2333	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation10_withdraw10_filetest.gno	CollectReward (10 delegations, 10 withdraws)		3457265	3457265	0	2323	2323	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation10_withdraw1_filetest.gno	CollectReward (10 delegations, 1 withdraws)		3453477	3453477	0	2323	2323	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation10_withdraw50_filetest.gno	CollectReward (10 delegations, 50 withdraws)		3456198	3456198	0	2323	2323	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation10_withdraw5_filetest.gno	CollectReward (10 delegations, 5 withdraws)		3450274	3450274	0	2323	2323	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation1_withdraw10_filetest.gno	CollectReward (1 delegation, 10 withdraws)		3527397	3527397	0	2395	2395	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation1_withdraw1_filetest.gno	CollectReward (1 delegation, 1 withdraws)		3702983	3702983	0	2395	2395	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation1_withdraw50_filetest.gno	CollectReward (1 delegation, 50 withdraws)		3524194	3524194	0	2395	2395	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_delegation1_withdraw5_filetest.gno	CollectReward (1 delegation, 5 withdraws)		3525351	3525351	0	2395	2395	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (1 protocol-fee tokens)	gno.land/r/onbloc/bar	3710276	3710276	0	368	368	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (2 protocol-fee tokens)	gno.land/r/onbloc/bar,gno.land/r/onbloc/baz	5888205	5888205	0	-1860	-1860	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (3 protocol-fee tokens)	gno.land/r/onbloc/bar,gno.land/r/onbloc/baz,gno.land/r/onbloc/qux	8186417	8186417	0	-3992	-3992	0	0	0	0	0	0	0	0	0
