research PoolCreate (n=1)	33848259	20844	-	0	33848259	33848259	33848259	33848259	20844	20844	20844	20844	3084400	3084400	3084400	3084400	3084400
research PoolCreate (n=10)	34062754	19848	-	0	34016777	34185030	33776202	34186234	19736	19742	19728	20844	2984860	2973600	2974200	2972800	3084400
research PoolCreate (n=100)	34608019	19867	-	0	34511643	34766067	33776202	34913351	19874	19880	19728	20844	2986714	2987400	2988000	2972800	3084400

research PositionMint (n=1)	57993539	40934	-	0	57993539	57993539	57993539	57993539	40934	40934	40934	40934	5093400	5093400	5093400	5093400	5093400
research PositionMint (n=10)	57557600	15821	-	0	57291576	57875993	56640088	58183518	13014	13044	12985	40934	2582100	2301400	2304400	2298500	5093400
research PositionMint (n=100)	59004721	13351	-	0	58835705	59390174	56640088	59928081	13038	13120	11040	40934	2335140	2303800	2312000	2104000	5093400

research PositionIncreaseLiquidity (n=1)	56507406	6	-	0	56507406	56507406	56507406	56507406	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	56497833	0	-	0	56403732	56405654	56403327	56821468	0	0	0	6	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	56494532	-20	-	0	56405372	56406608	56403327	56822234	0	0	-2055	6	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	61519584	4323	-	0	61519584	61519584	61519584	61519584	4323	4323	4323	4323	1432300	1432300	1432300	1432300	1432300
research PositionDecreaseLiquidity (n=10)	61056522	435	-	0	60879827	60981057	60874692	61519584	0	2	0	4323	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	60977105	43	-	0	60879748	60893364	60860476	61519584	0	0	0	4323	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	69740329	2207	-	0	69740329	69740329	69740329	69740329	2207	2207	2207	2207	1220700	1220700	1220700	1220700	1220700
research Router.ExactIn.SingleHop.Pos1 (n=10)	70645160	452	-	0	70396983	70825860	69740329	71252620	0	38	0	2207	1045280	1000000	1003800	1000000	1220700
research Router.ExactIn.SingleHop.Pos1 (n=100)	70713434	46	-	0	70525906	70936125	69688889	71339385	0	0	0	2207	1004620	1000000	1000000	1000000	1220700
research Router.ExactIn.SingleHop.Pos6 (n=1)	70137575	2265	-	0	70137575	70137575	70137575	70137575	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactIn.SingleHop.Pos6 (n=10)	70500653	449	-	0	70137575	70866201	69979101	71289863	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactIn.SingleHop.Pos6 (n=100)	70573345	45	-	0	70005631	70892903	69979101	71332743	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
research Router.ExactIn.TwoHop (n=1)	97926178	13731	-	0	97926178	97926178	97926178	97926178	13731	13731	13731	13731	2373100	2373100	2373100	2373100	2373100
research Router.ExactIn.TwoHop (n=10)	99416348	1608	-	0	97926178	100711159	97586752	101013683	0	42	0	13731	1160810	1000000	1004200	1000000	2373100
research Router.ExactIn.TwoHop (n=100)	98166798	161	-	0	97701053	98560713	96825896	101013683	0	0	0	13731	1016184	1000000	1000000	1000000	2373100

research Router.ExactOut.SingleHop.Pos1 (n=1)	68250903	2207	-	0	68250903	68250903	68250903	68250903	2207	2207	2207	2207	1220700	1220700	1220700	1220700	1220700
research Router.ExactOut.SingleHop.Pos1 (n=10)	69208086	452	-	0	67052316	71099588	66474009	71517943	0	38	0	2207	1045280	1000000	1003800	1000000	1220700
research Router.ExactOut.SingleHop.Pos1 (n=100)	68361959	46	-	0	67093369	68613476	66474009	71681155	0	0	0	2207	1004620	1000000	1000000	1000000	1220700
research Router.ExactOut.SingleHop.Pos6 (n=1)	68732071	2265	-	0	68732071	68732071	68732071	68732071	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68190999	449	-	0	66912279	68818351	66911403	69428180	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactOut.SingleHop.Pos6 (n=100)	68027123	45	-	0	66919058	68826511	66910043	69428180	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
