research PoolCreate (n=1)	33582283	15672	-	0	33582283	33582283	33582283	33582283	15672	15672	15672	15672	2567200	2567200	2567200	2567200	2567200
research PoolCreate (n=10)	33796778	14676	-	0	33750801	33919054	33510226	33920258	14564	14570	14556	15672	2467660	2456400	2457000	2455600	2567200

research PositionMint (n=1)	57749957	26450	-	0	57749957	57749957	57749957	57749957	26450	26450	26450	26450	3645000	3645000	3645000	3645000	3645000
research PositionMint (n=10)	57202602	14166	-	0	56808577	57309812	56370799	58506427	13016	13044	10944	26450	2416600	2301600	2304400	2094400	3645000

research PositionIncreaseLiquidity (n=1)	55459478	6	-	0	55459478	55459478	55459478	55459478	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	55656595	-196	-	0	55356598	55458466	55356598	56735317	0	1	-2038	49	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	59583386	4245	-	0	59583386	59583386	59583386	59583386	4245	4245	4245	4245	1424500	1424500	1424500	1424500	1424500
research PositionDecreaseLiquidity (n=10)	59524172	420	-	0	59197703	59346157	59195087	60572786	0	0	-40	4245	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	69819333	2205	-	0	69819333	69819333	69819333	69819333	2205	2205	2205	2205	1220500	1220500	1220500	1220500	1220500
research Router.ExactIn.SingleHop.Pos1 (n=10)	70739083	456	-	0	70296577	71154779	69819333	71678909	1	38	0	2238	1045630	1000100	1003800	1000000	1223800
research Router.ExactIn.SingleHop.Pos6 (n=1)	71772725	2263	-	0	71772725	71772725	71772725	71772725	2263	2263	2263	2263	1226300	1226300	1226300	1226300	1226300
research Router.ExactIn.SingleHop.Pos6 (n=10)	71179512	449	-	0	70587257	71319501	70416459	71772725	0	2	0	2263	1044970	1000000	1000200	1000000	1226300
research Router.ExactIn.TwoHop (n=1)	99585771	10345	-	0	99585771	99585771	99585771	99585771	10345	10345	10345	10345	2034500	2034500	2034500	2034500	2034500
research Router.ExactIn.TwoHop (n=10)	99530686	1266	-	0	99212439	99645085	97295335	101838751	0	42	0	10345	1126690	1000000	1004200	1000000	2034500

research Router.ExactOut.SingleHop.Pos1 (n=1)	68446187	2205	-	0	68446187	68446187	68446187	68446187	2205	2205	2205	2205	1220500	1220500	1220500	1220500	1220500
research Router.ExactOut.SingleHop.Pos1 (n=10)	69292832	452	-	0	67655027	70944822	67072866	71091665	0	38	0	2205	1045210	1000000	1003800	1000000	1220500
research Router.ExactOut.SingleHop.Pos6 (n=1)	70390707	2265	-	0	70390707	70390707	70390707	70390707	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68275123	449	-	0	66642343	68581945	66630479	70390707	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactOut.TwoHop (n=1)	112290391	6239	-	0	112290391	112290391	112290391	112290391	6239	6239	6239	6239	1623900	1623900	1623900	1623900	1623900
research Router.ExactOut.TwoHop (n=10)	110391123	861	-	0	108671103	111420279	108540702	112290391	0	42	0	6239	1086120	1000000	1004200	1000000	1623900

research StakerCreateExternalIncentive (n=1)	42011675	9224	-	0	42011675	42011675	42011675	42011675	9224	9224	9224	9224	1922400	1922400	1922400	1922400	1922400
research StakerCreateExternalIncentive (n=10)	42602261	7193	-	0	42394125	42891103	42011675	42901382	6038	6078	6020	10199	1719340	1603800	1607800	1602000	2019900

research StakerStakeToken (n=1)	70032635	26625	-	0	70032635	70032635	70032635	70032635	26625	26625	26625	26625	3662500	3662500	3662500	3662500	3662500
research StakerStakeToken (n=10)	69399718	15000	-	0	65915662	70370476	65117427	73140375	9642	15732	9588	26625	2500040	1964200	2573200	1958800	3662500

research StakerCollectReward (n=1)	185585808	5215	-	0	185585808	185585808	185585808	185585808	5215	5215	5215	5215	1521500	1521500	1521500	1521500	1521500
research StakerCollectReward (n=10)	186129868	2396	-	0	185774608	186548891	185585808	186567941	2084	2084	2078	5215	1239650	1208400	1208400	1207800	1521500

research StakerUnStakeToken (n=1)	69516765	-10679	-	0	69516765	69516765	69516765	69516765	-10679	-10679	-10679	-10679	-67900	-67900	-67900	-67900	-67900
research StakerUnStakeToken (n=10)	84132854	-10074	-	0	69517824	69718221	69516765	214524147	-10691	-10691	-10697	-4535	-7480	-69100	-69100	-69700	546500
