research PoolCreate (n=1)	33848259	20844	-	0	33848259	33848259	33848259	33848259	20844	20844	20844	20844	3084400	3084400	3084400	3084400	3084400
research PoolCreate (n=10)	34062754	19848	-	0	34016777	34185030	33776202	34186234	19736	19742	19728	20844	2984860	2973600	2974200	2972800	3084400
research PoolCreate (n=100)	34608019	19867	-	0	34511643	34766067	33776202	34913351	19874	19880	19728	20844	2986714	2987400	2988000	2972800	3084400

research PositionMint (n=1)	58003333	40935	-	0	58003333	58003333	58003333	58003333	40935	40935	40935	40935	5093500	5093500	5093500	5093500	5093500
research PositionMint (n=10)	57734181	15821	-	0	57383539	58003333	56620256	58292082	13014	13044	12987	40935	2582130	2301400	2304400	2298700	5093500
research PositionMint (n=100)	59164230	13351	-	0	58907369	59708925	56620256	59839645	13039	13120	11041	40935	2335155	2303900	2312000	2104100	5093500

research PositionIncreaseLiquidity (n=1)	56923697	6	-	0	56923697	56923697	56923697	56923697	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	56748408	0	-	0	56819618	56821475	56404967	56923697	0	0	0	6	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	56653808	-20	-	0	56406420	56821945	56404492	56978104	0	0	-2047	6	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	61524772	4333	-	0	61524772	61524772	61524772	61524772	4333	4333	4333	4333	1433300	1433300	1433300	1433300	1433300
research PositionDecreaseLiquidity (n=10)	61152553	433	-	0	60880297	61295970	60878960	61524772	0	0	0	4333	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	61144886	43	-	0	60880225	61296064	60878584	61524772	0	0	0	4333	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	70443287	2221	-	0	70443287	70443287	70443287	70443287	2221	2221	2221	2221	1222100	1222100	1222100	1222100	1222100
research Router.ExactIn.SingleHop.Pos1 (n=10)	70817009	452	-	0	70513234	71095782	70420933	71187119	0	38	0	2221	1045280	1000000	1003800	1000000	1222100
research Router.ExactIn.SingleHop.Pos1 (n=100)	70888749	46	-	0	70728529	71100569	70049307	71394292	0	0	0	2221	1004620	1000000	1000000	1000000	1222100
research Router.ExactIn.SingleHop.Pos6 (n=1)	70084347	2265	-	0	70084347	70084347	70084347	70084347	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactIn.SingleHop.Pos6 (n=10)	70699272	449	-	0	70350939	71237099	70084347	71246402	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactIn.SingleHop.Pos6 (n=100)	70734733	45	-	0	70362000	71249109	69943840	71276922	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
research Router.ExactIn.TwoHop (n=1)	99213668	13731	-	0	99213668	99213668	99213668	99213668	13731	13731	13731	13731	2373100	2373100	2373100	2373100	2373100
research Router.ExactIn.TwoHop (n=10)	100056504	1605	-	0	99093331	100924852	98623102	101777739	0	42	0	13731	1160530	1000000	1004200	1000000	2373100
research Router.ExactIn.TwoHop (n=100)	98767855	161	-	0	98640917	98915416	97041121	101777739	0	0	0	13731	1016156	1000000	1000000	1000000	2373100

research Router.ExactOut.SingleHop.Pos1 (n=1)	69089319	2207	-	0	69089319	69089319	69089319	69089319	2207	2207	2207	2207	1220700	1220700	1220700	1220700	1220700
research Router.ExactOut.SingleHop.Pos1 (n=10)	69512832	451	-	0	67538585	71593679	66550920	71666550	0	38	0	2207	1045140	1000000	1003800	1000000	1220700
research Router.ExactOut.SingleHop.Pos1 (n=100)	68671611	46	-	0	67538585	68763394	66550920	71759405	0	0	0	2207	1004606	1000000	1000000	1000000	1220700
research Router.ExactOut.SingleHop.Pos6 (n=1)	68678367	2265	-	0	68678367	68678367	68678367	68678367	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68343271	449	-	0	67271468	69178703	66855843	69372070	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactOut.SingleHop.Pos6 (n=100)	68188064	45	-	0	67275278	69182746	66855843	69372070	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
