research PoolCreate (n=1)	33848259	20844	-	0	33848259	33848259	33848259	33848259	20844	20844	20844	20844	3084400	3084400	3084400	3084400	3084400
research PoolCreate (n=10)	34062754	19848	-	0	34016777	34185030	33776202	34186234	19736	19742	19728	20844	2984860	2973600	2974200	2972800	3084400
research PoolCreate (n=100)	34608019	19867	-	0	34511643	34766067	33776202	34913351	19874	19880	19728	20844	2986714	2987400	2988000	2972800	3084400

research PositionMint (n=1)	57147008	40923	-	0	57147008	57147008	57147008	57147008	40923	40923	40923	40923	5092300	5092300	5092300	5092300	5092300
research PositionMint (n=10)	57406249	15821	-	0	57147008	57566588	56811251	58252190	13019	13046	12986	40923	2582120	2301900	2304600	2298600	5092300
research PositionMint (n=100)	58869842	13351	-	0	58702131	59276988	56811251	59796074	13039	13120	11040	40923	2335140	2303900	2312000	2104000	5092300

research PositionIncreaseLiquidity (n=1)	56791268	6	-	0	56791268	56791268	56791268	56791268	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	56366318	0	-	0	56272538	56273413	56272538	56791268	0	0	0	6	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	56366347	-20	-	0	56272943	56274656	56271015	56791268	0	0	-2055	6	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	60971240	4323	-	0	60971240	60971240	60971240	60971240	4323	4323	4323	4323	1432300	1432300	1432300	1432300	1432300
research PositionDecreaseLiquidity (n=10)	60882578	435	-	0	60747554	60848816	60747008	61263774	0	2	0	4323	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	60844843	43	-	0	60747586	60762946	60726783	61263774	0	0	0	4323	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	69740329	2207	-	0	69740329	69740329	69740329	69740329	2207	2207	2207	2207	1220700	1220700	1220700	1220700	1220700
research Router.ExactIn.SingleHop.Pos1 (n=10)	70646414	452	-	0	70396983	70826437	69740329	71252620	0	38	0	2207	1045280	1000000	1003800	1000000	1220700
research Router.ExactIn.SingleHop.Pos1 (n=100)	70721839	46	-	0	70527206	71000966	69688889	71339385	0	0	0	2207	1004620	1000000	1000000	1000000	1220700
research Router.ExactIn.SingleHop.Pos6 (n=1)	70137575	2265	-	0	70137575	70137575	70137575	70137575	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactIn.SingleHop.Pos6 (n=10)	70500653	449	-	0	69996953	70866201	69979101	71299227	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactIn.SingleHop.Pos6 (n=100)	70590222	45	-	0	70006989	70896638	69979101	71319592	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
research Router.ExactIn.TwoHop (n=1)	99433924	13759	-	0	99433924	99433924	99433924	99433924	13759	13759	13759	13759	2375900	2375900	2375900	2375900	2375900
research Router.ExactIn.TwoHop (n=10)	99545313	1608	-	0	98410572	100163925	98058057	101189530	0	42	0	13759	1160810	1000000	1004200	1000000	2375900
research Router.ExactIn.TwoHop (n=100)	98196872	161	-	0	97720899	98574383	96909243	101189530	0	0	0	13759	1016184	1000000	1000000	1000000	2375900

research Router.ExactOut.SingleHop.Pos1 (n=1)	68700165	2207	-	0	68700165	68700165	68700165	68700165	2207	2207	2207	2207	1220700	1220700	1220700	1220700	1220700
research Router.ExactOut.SingleHop.Pos1 (n=10)	69391941	451	-	0	67136970	71299386	66605577	71721497	0	38	0	2207	1045140	1000000	1003800	1000000	1220700
research Router.ExactOut.SingleHop.Pos1 (n=100)	68510140	46	-	0	67256030	68749250	66605577	71831190	0	0	0	2207	1004606	1000000	1000000	1000000	1220700
research Router.ExactOut.SingleHop.Pos6 (n=1)	68870687	2265	-	0	68870687	68870687	68870687	68870687	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68325785	449	-	0	67048658	68958269	67036317	69371013	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactOut.SingleHop.Pos6 (n=100)	68162846	45	-	0	67053641	68961745	67036317	69390371	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
