research PoolCreate (n=1)	33582283	15672	-	0	33582283	33582283	33582283	33582283	15672	15672	15672	15672	2567200	2567200	2567200	2567200	2567200
research PoolCreate (n=10)	33796778	14676	-	0	33750801	33919054	33510226	33920258	14564	14570	14556	15672	2467660	2456400	2457000	2455600	2567200

research PositionMint (n=1)	58676790	26499	-	0	58676790	58676790	58676790	58676790	26499	26499	26499	26499	3649900	3649900	3649900	3649900	3649900
research PositionMint (n=10)	57229625	14166	-	0	56752389	57285509	56060448	58739071	13020	13044	10943	26499	2416600	2302000	2304400	2094300	3649900

research PositionIncreaseLiquidity (n=1)	55459574	6	-	0	55459574	55459574	55459574	55459574	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	55700359	-196	-	0	55356694	55458546	55356694	56999191	0	0	-2038	49	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	59583466	4245	-	0	59583466	59583466	59583466	59583466	4245	4245	4245	4245	1424500	1424500	1424500	1424500	1424500
research PositionDecreaseLiquidity (n=10)	59577047	420	-	0	59197783	59346237	59195167	60835338	0	0	-40	4245	-1	-1	-1	-1	-1
