research PoolCreate (n=1)	33848259	20844	-	0	33848259	33848259	33848259	33848259	20844	20844	20844	20844	3084400	3084400	3084400	3084400	3084400
research PoolCreate (n=10)	34062754	19848	-	0	34016777	34185030	33776202	34186234	19736	19742	19728	20844	2984860	2973600	2974200	2972800	3084400
research PoolCreate (n=100)	34608019	19867	-	0	34511643	34766067	33776202	34913351	19874	19880	19728	20844	2986714	2987400	2988000	2972800	3084400

research PositionMint (n=1)	57995297	40934	-	0	57995297	57995297	57995297	57995297	40934	40934	40934	40934	5093400	5093400	5093400	5093400	5093400
research PositionMint (n=10)	57729955	15821	-	0	57735716	57995297	56632054	58396858	13013	13044	12987	40934	2582110	2301300	2304400	2298700	5093400
research PositionMint (n=100)	59152539	13351	-	0	58913427	59708392	56632054	59836823	13038	13119	11040	40934	2335133	2303800	2311900	2104000	5093400

research PositionIncreaseLiquidity (n=1)	56923697	6	-	0	56923697	56923697	56923697	56923697	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	56623279	0	-	0	56404967	56820781	56404492	56923697	0	0	0	6	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	56627712	-20	-	0	56406131	56821945	56404209	56923697	0	0	-2055	6	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	61524323	4343	-	0	61524323	61524323	61524323	61524323	4343	4343	4343	4343	1434300	1434300	1434300	1434300	1434300
research PositionDecreaseLiquidity (n=10)	61152198	434	-	0	60880702	61295970	60878375	61524323	0	0	0	4343	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	61136445	43	-	0	60880695	61296174	60876946	61524323	0	0	0	4343	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	70499397	2221	-	0	70499397	70499397	70499397	70499397	2221	2221	2221	2221	1222100	1222100	1222100	1222100	1222100
research Router.ExactIn.SingleHop.Pos1 (n=10)	70876114	452	-	0	70750183	70985763	70410207	71242940	0	38	0	2221	1045280	1000000	1003800	1000000	1222100
research Router.ExactIn.SingleHop.Pos1 (n=100)	70933508	46	-	0	70784350	71158382	70089719	71451277	0	0	0	2221	1004620	1000000	1000000	1000000	1222100
research Router.ExactIn.SingleHop.Pos6 (n=1)	70140457	2265	-	0	70140457	70140457	70140457	70140457	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactIn.SingleHop.Pos6 (n=10)	70713852	449	-	0	70407049	70877621	70140457	71302512	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactIn.SingleHop.Pos6 (n=100)	70790728	45	-	0	70417170	71305219	69998028	71333032	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
research Router.ExactIn.TwoHop (n=1)	99703886	13731	-	0	99703886	99703886	99703886	99703886	13731	13731	13731	13731	2373100	2373100	2373100	2373100	2373100
research Router.ExactIn.TwoHop (n=10)	100074004	1605	-	0	99149441	101012933	97859748	101488464	0	42	0	13731	1160530	1000000	1004200	1000000	2373100
research Router.ExactIn.TwoHop (n=100)	98770922	161	-	0	98308880	98959016	97179335	101488464	0	0	0	13731	1016156	1000000	1000000	1000000	2373100

research Router.ExactOut.SingleHop.Pos1 (n=1)	69009971	2221	-	0	69009971	69009971	69009971	69009971	2221	2221	2221	2221	1222100	1222100	1222100	1222100	1222100
research Router.ExactOut.SingleHop.Pos1 (n=10)	69477025	452	-	0	67044285	71519584	66471984	71677391	0	38	0	2221	1045280	1000000	1003800	1000000	1222100
research Router.ExactOut.SingleHop.Pos1 (n=100)	68572835	46	-	0	67384417	68685333	66471984	71696621	0	0	0	2221	1004620	1000000	1000000	1000000	1222100
research Router.ExactOut.SingleHop.Pos6 (n=1)	69148324	2265	-	0	69148324	69148324	69148324	69148324	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68482343	449	-	0	67327541	69235092	67325939	69428180	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactOut.SingleHop.Pos6 (n=100)	68252693	45	-	0	67332839	69238551	66916102	69428180	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
