research PoolCreate (n=1)	33599907	15672	-	0	33599907	33599907	33599907	33599907	15672	15672	15672	15672	2567200	2567200	2567200	2567200	2567200
research PoolCreate (n=10)	33814402	14676	-	0	33768425	33936678	33527850	33937882	14564	14570	14556	15672	2467660	2456400	2457000	2455600	2567200

research PositionMint (n=1)	57849112	26459	-	0	57849112	57849112	57849112	57849112	26459	26459	26459	26459	3645900	3645900	3645900	3645900	3645900
research PositionMint (n=10)	56553570	14162	-	0	55938356	56489610	55226735	57849112	13014	13044	10943	26459	2416210	2301400	2304400	2094300	3645900

research PositionIncreaseLiquidity (n=1)	54243597	6	-	0	54243597	54243597	54243597	54243597	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	54474555	-196	-	0	54141122	54240866	54140717	55728350	0	0	-2043	60	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	57808247	4245	-	0	57808247	57808247	57808247	57808247	4245	4245	4245	4245	1424500	1424500	1424500	1424500	1424500
research PositionDecreaseLiquidity (n=10)	57802114	420	-	0	57422094	57571018	57419948	59076908	0	0	-40	4245	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	70535916	2255	-	0	70535916	70535916	70535916	70535916	2255	2255	2255	2255	1225500	1225500	1225500	1225500	1225500
research Router.ExactIn.SingleHop.Pos1 (n=10)	70604687	456	-	0	70174895	70535916	70013089	71556406	1	38	0	2255	1045630	1000100	1003800	1000000	1225500
research Router.ExactIn.SingleHop.Pos6 (n=1)	70452144	2263	-	0	70452144	70452144	70452144	70452144	2263	2263	2263	2263	1226300	1226300	1226300	1226300	1226300
research Router.ExactIn.SingleHop.Pos6 (n=10)	71060467	449	-	0	70295915	71201393	70294777	72399778	0	1	0	2263	1044980	1000000	1000100	1000000	1226300
research Router.ExactIn.TwoHop (n=1)	97602757	10245	-	0	97602757	97602757	97602757	97602757	10245	10245	10245	10245	2024500	2024500	2024500	2024500	2024500
research Router.ExactIn.TwoHop (n=10)	99261530	1258	-	0	97602757	100031334	96488501	102629244	0	42	0	10245	1125850	1000000	1004200	1000000	2024500

research Router.ExactOut.SingleHop.Pos1 (n=1)	68324505	2205	-	0	68324505	68324505	68324505	68324505	2205	2205	2205	2205	1220500	1220500	1220500	1220500	1220500
research Router.ExactOut.SingleHop.Pos1 (n=10)	69019520	452	-	0	66036796	70885479	65454346	72383523	0	38	0	2205	1045210	1000000	1003800	1000000	1220500
research Router.ExactOut.SingleHop.Pos6 (n=1)	70585730	2263	-	0	70585730	70585730	70585730	70585730	2263	2263	2263	2263	1226300	1226300	1226300	1226300	1226300
research Router.ExactOut.SingleHop.Pos6 (n=10)	68729268	449	-	0	68029048	68460423	68028769	70585730	0	1	0	2263	1044960	1000000	1000100	1000000	1226300
research Router.ExactOut.TwoHop (n=1)	111972717	6239	-	0	111972717	111972717	111972717	111972717	6239	6239	6239	6239	1623900	1623900	1623900	1623900	1623900
research Router.ExactOut.TwoHop (n=10)	110073451	861	-	0	109566329	109894923	108223028	111972717	0	43	0	6239	1086120	1000000	1004300	1000000	1623900

research StakerCreateExternalIncentive (n=1)	42338633	9224	-	0	42338633	42338633	42338633	42338633	9224	9224	9224	9224	1922400	1922400	1922400	1922400	1922400
research StakerCreateExternalIncentive (n=10)	42943881	7193	-	0	42644136	43222013	42338633	43291387	6038	6044	6020	10245	1719340	1603800	1604400	1602000	2024500

research StakerCollectReward (n=1)	59183213	2879	-	0	59183213	59183213	59183213	59183213	2879	2879	2879	2879	1287900	1287900	1287900	1287900	1287900
research StakerCollectReward (n=10)	58781116	2883	-	0	58628353	58796128	58612568	59183213	2885	2885	2879	2885	1288380	1288500	1288500	1287900	1288500

research StakerUnStakeToken (n=1)	64694043	-11448	-	0	64694043	64694043	64694043	64694043	-11448	-11448	-11448	-11448	-144800	-144800	-144800	-144800	-144800
research StakerUnStakeToken (n=10)	66884574	-10705	-	0	65034542	65250222	64694043	83021826	-11506	-11500	-11506	-3679	-70500	-150600	-150000	-150600	632100
