research PoolCreate (n=1)	33848259	20844	-	0	33848259	33848259	33848259	33848259	20844	20844	20844	20844	3084400	3084400	3084400	3084400	3084400
research PoolCreate (n=10)	34062754	19848	-	0	34016777	34185030	33776202	34186234	19736	19742	19728	20844	2984860	2973600	2974200	2972800	3084400
research PoolCreate (n=100)	34608019	19867	-	0	34511643	34766067	33776202	34913351	19874	19880	19728	20844	2986714	2987400	2988000	2972800	3084400

research PositionMint (n=1)	58001575	40935	-	0	58001575	58001575	58001575	58001575	40935	40935	40935	40935	5093500	5093500	5093500	5093500	5093500
research PositionMint (n=10)	57693059	15821	-	0	57335603	57811469	56633826	58385933	13014	13044	12987	40935	2582130	2301400	2304400	2298700	5093500
research PositionMint (n=100)	59165020	13351	-	0	58903096	59711300	56633826	59930027	13039	13119	11040	40935	2335128	2303900	2311900	2104000	5093500

research PositionIncreaseLiquidity (n=1)	56507883	6	-	0	56507883	56507883	56507883	56507883	6	6	6	6	1000600	1000600	1000600	1000600	1000600
research PositionIncreaseLiquidity (n=10)	56665188	0	-	0	56406420	56820781	56405372	56822234	0	0	0	6	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	56649595	-20	-	0	56406131	56821945	56403733	56977815	0	0	-2047	6	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	61108926	4333	-	0	61108926	61108926	61108926	61108926	4333	4333	4333	4333	1433300	1433300	1433300	1433300	1433300
research PositionDecreaseLiquidity (n=10)	61152881	433	-	0	60881172	61296143	60880116	61297307	0	0	0	4333	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	61144857	43	-	0	60880702	61296259	60860476	61310744	0	0	0	4333	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	70499397	2221	-	0	70499397	70499397	70499397	70499397	2221	2221	2221	2221	1222100	1222100	1222100	1222100	1222100
research Router.ExactIn.SingleHop.Pos1 (n=10)	70917584	452	-	0	70823957	71157156	70410927	71242940	0	38	0	2221	1045280	1000000	1003800	1000000	1222100
research Router.ExactIn.SingleHop.Pos1 (n=100)	70936844	46	-	0	70768900	71157211	69689764	71450402	0	0	0	2221	1004620	1000000	1000000	1000000	1222100
research Router.ExactIn.SingleHop.Pos6 (n=1)	70275692	2265	-	0	70275692	70275692	70275692	70275692	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactIn.SingleHop.Pos6 (n=10)	70891749	449	-	0	70544025	71429673	70275692	71438036	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactIn.SingleHop.Pos6 (n=100)	70930687	45	-	0	70552739	71440845	70137419	71467103	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
research Router.ExactIn.TwoHop (n=1)	99269778	13731	-	0	99269778	99269778	99269778	99269778	13731	13731	13731	13731	2373100	2373100	2373100	2373100	2373100
research Router.ExactIn.TwoHop (n=10)	100194391	1605	-	0	99149441	101114126	98680664	101833184	0	42	0	13731	1160530	1000000	1004200	1000000	2373100
research Router.ExactIn.TwoHop (n=100)	98815820	161	-	0	98583458	98971237	97260288	101833184	0	0	0	13731	1016156	1000000	1000000	1000000	2373100

research Router.ExactOut.SingleHop.Pos1 (n=1)	68700165	2207	-	0	68700165	68700165	68700165	68700165	2207	2207	2207	2207	1220700	1220700	1220700	1220700	1220700
research Router.ExactOut.SingleHop.Pos1 (n=10)	69609120	451	-	0	67595172	71650953	67022683	71812625	0	38	0	2207	1045140	1000000	1003800	1000000	1220700
research Router.ExactOut.SingleHop.Pos1 (n=100)	68719246	46	-	0	67579960	68763720	67022683	71815515	0	0	0	2207	1004606	1000000	1000000	1000000	1220700
research Router.ExactOut.SingleHop.Pos6 (n=1)	69148324	2265	-	0	69148324	69148324	69148324	69148324	2265	2265	2265	2265	1226500	1226500	1226500	1226500	1226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68482092	449	-	0	67327541	69233174	67326415	69428469	0	1	0	2265	1044980	1000000	1000100	1000000	1226500
research Router.ExactOut.SingleHop.Pos6 (n=100)	68244197	45	-	0	67332376	69239042	66913989	69428469	0	0	0	2265	1004590	1000000	1000000	1000000	1226500
