research PoolCreate (n=1)	33344366	13608	-	0	33344366	33344366	33344366	33344366	13608	13608	13608	13608	4360800	4360800	4360800	4360800	4360800
research PoolCreate (n=10)	33558872	12612	-	0	33512884	33681173	33272309	33682341	12500	12506	12492	13608	4261260	4250000	4250600	4249200	4360800
research PoolCreate (n=100)	34103060	12582	-	0	34004166	34261336	33272309	34406610	12580	12593	12492	13608	4258261	4258000	4259300	4249200	4360800

research PositionMint (n=1)	58427259	17647	-	0	58427259	58427259	58427259	58427259	17647	17647	17647	17647	4764700	4764700	4764700	4764700	4764700
research PositionMint (n=10)	57637517	8006	-	0	57108860	58196281	56035356	58733444	6920	6957	6881	17647	3800630	3692000	3695700	3688100	4764700
research PositionMint (n=100)	58934854	7054	-	0	58347863	59828380	56035356	60337172	6948	6986	4907	17647	3705450	3694800	3698600	3490700	4764700

research PositionIncreaseLiquidity (n=1)	52359314	6	-	0	52359314	52359314	52359314	52359314	6	6	6	6	3000600	3000600	3000600	3000600	3000600
research PositionIncreaseLiquidity (n=10)	52884235	0	-	0	52272916	53753713	52256398	53770520	0	0	0	6	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	52877658	-19	-	0	52272916	53770231	52256398	53875453	0	0	-2055	85	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	56824723	4269	-	0	56824723	56824723	56824723	56824723	4269	4269	4269	4269	3426900	3426900	3426900	3426900	3426900
research PositionDecreaseLiquidity (n=10)	57230379	427	-	0	56596409	58099244	56596409	58199280	0	0	0	4269	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	57183185	42	-	0	56531059	58042767	56457032	58306995	0	0	-36	4269	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	69935150	2200	-	0	69935150	69935150	69935150	69935150	2200	2200	2200	2200	3220000	3220000	3220000	3220000	3220000
research Router.ExactIn.SingleHop.Pos1 (n=10)	71587045	451	-	0	71741292	72085371	69935150	72171444	0	38	0	2200	3045160	3000000	3003800	3000000	3220000
research Router.ExactIn.SingleHop.Pos1 (n=100)	71674377	46	-	0	71619766	72091363	69542740	72383694	0	0	0	2200	3004609	3000000	3000000	3000000	3220000
